organisation_id,name,hqrts,head,status
1,Algeria,,not mentioned,1
2,Central African Republic,,not mentioned,1
3,Yemen,,not mentioned,1
4,Somalia,,not mentioned,1
5,Sudan,,not mentioned,1
6,Lebanon,,not mentioned,1
7,Turkmenistan,,not mentioned,1
8,Norway,,not mentioned,1
9,Egypt,,not mentioned,1
10,South Korea,,not mentioned,1
11,India,,not mentioned,1
12,United Kingdom,,not mentioned,1
13,Pakistan,,not mentioned,1
14,South Sudan,,not mentioned,1
15,Afghanistan,,not mentioned,1
16,Iraq,,not mentioned,1
17,Libya,,not mentioned,1
18,Syria,,not mentioned,1
19,Saudi Arabia,,not mentioned,1
20,Oman,,not mentioned,1
21,France,,not mentioned,1
22,United States of America,,not mentioned,1
23,North Korea,,not mentioned,1
24,Russia,,not mentioned,1
25,Israel,,not mentioned,1
26,Iceland,,not mentioned,1
27,Hungary,,not mentioned,1
28,New Zealand,,not mentioned,1
29,Slovenia,,not mentioned,1
30,Moldova,,not mentioned,1
31,Malaysia,,not mentioned,1
32,Ireland,,not mentioned,1
33,Portugal,,not mentioned,1
34,Denmark,,not mentioned,1
35,Austria,,not mentioned,1
36,Bhutan,,not mentioned,1
37,Czech Republic,,not mentioned,1
38,Mongolia,,not mentioned,1
39,Madagascar,,not mentioned,1
40,Mauritius,,not mentioned,1
41,Indonesia,,not mentioned,1
42,Slovakia,,not mentioned,1
43,Latvia,,not mentioned,1
44,Japan,,not mentioned,1
45,Panama,,not mentioned,1
46,Tanzania,,not mentioned,1
47,Bosnia and Herzegovina,,not mentioned,1
48,Burundi,,not mentioned,1
49,Canada,,not mentioned,1
50,Zambia,,not mentioned,1
